CustomerID,Cluster
C0000001,1
C0000002,0
C0000003,0
C0000004,0
C0000005,1
C0000006,0
C0000007,0
C0000008,0
C0000009,1
C0000010,1
C0000011,0
C0000012,0
C0000013,0
C0000014,0
C0000015,0
C0000016,0
C0000017,0
C0000018,0
C0000019,0
C0000020,0
C0000021,1
C0000022,1
C0000023,1
C0000024,0
C0000025,0
C0000026,0
C0000027,1
C0000028,0
C0000029,0
C0000030,1
C0000031,1
C0000032,1
C0000033,1
C0000034,1
C0000035,0
C0000036,1
C0000037,0
C0000038,0
C0000039,1
C0000040,0
C0000041,1
C0000042,0
C0000043,0
C0000044,1
C0000045,1
C0000046,0
C0000047,0
C0000048,0
C0000049,0
C0000050,0
C0000051,0
C0000052,1
C0000053,1
C0000054,1
C0000055,0
C0000056,1
C0000057,0
C0000058,1
C0000059,0
C0000060,0
C0000061,0
C0000062,0
C0000063,0
C0000064,0
C0000065,1
C0000066,1
C0000067,0
C0000068,1
C0000069,1
C0000070,0
C0000071,0
C0000072,1
C0000073,1
C0000074,1
C0000075,0
C0000076,1
C0000077,0
C0000078,1
C0000079,0
C0000080,0
C0000081,0
C0000082,1
C0000083,1
C0000084,0
C0000085,0
C0000086,0
C0000087,1
C0000088,1
C0000089,1
C0000090,0
C0000091,1
C0000092,0
C0000093,0
C0000094,0
C0000095,0
C0000096,1
C0000097,1
C0000098,0
C0000099,0
C0000100,1
C0000101,0
C0000102,1
C0000103,0
C0000104,1
C0000105,0
C0000106,0
C0000107,0
C0000108,0
C0000109,1
C0000110,0
C0000111,1
C0000112,0
C0000113,1
C0000114,0
C0000115,0
C0000116,0
C0000117,1
C0000118,1
C0000119,1
C0000120,1
C0000121,1
C0000122,0
C0000123,0
C0000124,1
C0000125,0
C0000126,0
C0000127,1
C0000128,0
C0000129,0
C0000130,1
C0000131,0
C0000132,0
C0000133,1
C0000134,0
C0000135,0
C0000136,1
C0000137,0
C0000138,1
C0000139,1
C0000140,1
C0000141,0
C0000142,0
C0000143,1
C0000144,1
C0000145,0
C0000146,0
C0000147,1
C0000148,1
C0000149,0
C0000150,1
C0000151,0
C0000152,1
C0000153,0
